,job_id,work_experience_required(in years),job_title,salary_in_usd,employee_residence,company_size,Skill_required_1,Skill_required_2
0,1,0,Data Science Consultant,64369,Germany,L,Data Science,Data Analytics
1,2,7,Data Scientist,68428,Greece,L,Data Science,Data Analytics
2,3,10,Head of Data Science,85000,Russian Federation,M,Data Science,Management
3,4,10,Head of Data,230000,Russian Federation,L,Statistics,Data Analytics
4,5,0,Machine Learning Engineer,125000,United States of America,S,Machine Learning,Artificial Intelligence
5,6,7,Data Analytics Manager,120000,United States of America,M,Management,Data Analytics
6,7,3,Research Scientist,450000,United States of America,M,Research,science and numerics
7,8,3,Data Analyst,46759,France,L,Statistics,Data Analytics
8,9,3,Data Engineer,74130,Austria,L,Data Science,Data Analytics
9,10,7,Data Science Engineer,127543,Canada,L,Data Science,Data Analytics
10,11,7,Manager Data Science,144000,United States of America,L,Data Science,Management
11,12,0,Data Scientist,13400,Ukraine,L,Data Science,Data Analytics
12,13,3,Data Scientist,75966,Canada,L,Data Science,Data Analytics
13,14,3,Data Scientist,150000,United States of America,M,Data Science,Data Analytics
14,15,3,Data Science Consultant,103000,United States of America,L,Data Science,Data Analytics
15,16,7,Data Engineering Manager,153000,United States of America,L,Data engineer,management
16,17,3,Data Engineer,90000,United States of America,L,Data Science,Data Analytics
17,18,0,Data Analyst,90000,United States of America,S,Statistics,Data Analytics
18,19,0,Data Analyst,60000,United States of America,S,Statistics,Data Analytics
19,20,3,Data Scientist,50000,Nigeria,L,Data Science,Data Analytics
20,21,0,AI Scientist,12000,Pakistan,M,Artificial intelligence,Data Science
21,22,3,3D Computer Vision Researcher,5423,India,M,Computer Vision,Research
22,23,3,ML Engineer,270000,United States of America,L,Machine Learning,Engineer
23,24,3,Applied Data Scientist,54376,United Kingdom of Great Britain and Northern Ireland,L,Applied Science,Data Analytics
24,25,3,Machine Learning Engineer,47681,Spain,S,Machine Learning,Artificial Intelligence
25,26,10,Director of Data Science,154963,Italy,L,Data Science,Management
26,27,3,Data Engineer,28801,Poland,L,Data Science,Data Analytics
27,28,3,Data Analytics Engineer,110000,United States of America,L,Engineer,Data Analytics
28,29,0,Research Scientist,83000,United Kingdom of Great Britain and Northern Ireland,L,Research,science and numerics
29,30,0,Machine Learning Engineer,250000,United States of America,L,Machine Learning,Artificial Intelligence
30,31,0,Data Analyst,59601,France,M,Statistics,Data Analytics
31,32,7,Data Analyst,80000,Bulgaria,S,Statistics,Data Analytics
32,33,0,Data Analyst,10000,Nigeria,S,Statistics,Data Analytics
33,34,0,Machine Learning Engineer,138000,United States of America,S,Machine Learning,Artificial Intelligence
34,35,3,Data Engineer,140000,United States of America,L,Data Science,Data Analytics
35,36,7,Data Analytics Engineer,79866,Germany,L,Engineer,Data Analytics
36,37,7,Lead Data Analyst,170000,United States of America,L,Management,Data Analytics
37,38,0,Data Analyst,80000,United States of America,M,Statistics,Data Analytics
38,39,3,Data Scientist,45760,Philippines,S,Data Science,Data Analytics
39,40,3,BI Data Analyst,100000,United States of America,M,PowerBI,Data Analytics
40,41,7,Data Scientist,53641,France,L,Data Science,Data Analytics
41,42,10,Head of Data,235000,United States of America,L,Statistics,Data Analytics
42,43,10,BI Data Analyst,150000,India,L,PowerBI,Data Analytics
43,44,10,Data Engineering Manager,79833,Spain,L,Data engineer,management
44,45,0,Machine Learning Scientist,225000,United States of America,L,Machine Learning,Research
45,46,0,Data Science Consultant,77481,Germany,S,Data Science,Data Analytics
46,47,3,Machine Learning Infrastructure Engineer,50180,Portugal,M,Machine Learning,Infrastructure
47,48,7,Marketing Data Analyst,89402,Greece,L,Marketing,Data Analytics
48,49,7,Lead Data Engineer,103750,United Kingdom of Great Britain and Northern Ireland,S,Executive,Data engineer
49,50,7,Director of Data Engineering,114125,United Kingdom of Great Britain and Northern Ireland,M,Executive,Management
50,51,7,Machine Learning Engineer,95362,Germany,L,Machine Learning,Artificial Intelligence
51,52,0,Data Engineer,30509,India,L,Data Science,Data Analytics
52,53,7,Data Engineer,150000,United States of America,M,Data Science,Data Analytics
53,54,7,Data Engineer,115000,United States of America,S,Data Science,Data Analytics
54,55,3,Research Scientist,187917,Canada,L,Research,science and numerics
55,56,3,Data Analyst,51814,United Kingdom of Great Britain and Northern Ireland,L,Statistics,Data Analytics
56,57,3,Data Engineer,106000,United States of America,L,Data Science,Data Analytics
57,58,3,Data Engineer,112872,United Kingdom of Great Britain and Northern Ireland,L,Data Science,Data Analytics
58,59,3,BI Data Analyst,36732,Hungary,L,PowerBI,Data Analytics
59,60,7,Data Engineer,150000,United States of America,L,Data Science,Data Analytics
60,61,0,ML Engineer,15966,Germany,S,Machine Learning,Engineer
61,62,3,Computer Vision Software Engineer,96554,Germany,S,Computer Vision,Software Development
62,63,0,Computer Vision Software Engineer,70000,United States of America,M,Computer Vision,Software Development
63,64,3,Financial Data Analyst,450000,United States of America,L,Finance,Data Analytics
64,65,3,Data Scientist,76958,United Kingdom of Great Britain and Northern Ireland,S,Data Science,Data Analytics
65,66,3,Cloud Data Engineer,89514,Singapore,L,Cloud computing,Data engineer
66,67,0,Data Scientist,29831,India,L,Data Science,Data Analytics
67,68,7,Lead Data Engineer,276000,United States of America,L,Executive,Data engineer
68,69,7,Data Engineer,188000,United States of America,L,Data Science,Data Analytics
69,70,7,Cloud Data Engineer,160000,Brazil,S,Cloud computing,Data engineer
70,71,3,Data Scientist,105000,United States of America,L,Data Science,Data Analytics
71,72,3,Data Engineer,200000,United States of America,L,Data Science,Data Analytics
72,73,7,Data Engineering Manager,174000,United States of America,L,Data engineer,management
73,74,3,Data Analyst,93000,United States of America,L,Statistics,Data Analytics
74,75,0,Data Scientist,28475,India,M,Data Science,Data Analytics
75,76,7,Research Scientist,61270,Portugal,L,Research,science and numerics
76,77,0,Data Scientist,90000,United States of America,S,Data Science,Data Analytics
77,78,3,Data Engineer,70139,France,L,Data Science,Data Analytics
78,79,0,Data Analyst,6072,India,S,Statistics,Data Analytics
79,80,7,Data Engineer,33511,Mexico,S,Data Science,Data Analytics
80,81,7,Principal Data Analyst,170000,United States of America,M,Executive,Data Analytics
