,id,work_exp(in years),skill1,skill2
4,1,9,Data Science,Data Analytics
5,2,7,Data Science,Data Analytics
8,3,4,Artificial intelligence,Data Analytics
9,4,3,Statistics,Data Analytics
12,5,8,Machine Learning,Machine Learning
14,6,5,Data Science,Data Analytics
15,7,1,Data Science,Data Analytics
16,8,4,Data Science,Data Science
19,9,7,Executive,Data Analytics
20,10,1,Applied Science,Data Analytics
21,11,1,Data Science,Data Analytics
22,12,3,Engineer,Data Analytics
25,13,7,Machine Learning,Data Analytics
28,14,6,Machine Learning,Data Analytics
32,15,7,Statistics,Data Analytics
37,16,8,Data Science,Data Analytics
46,17,6,Data Science,Data Analytics
48,18,5,Machine Learning,Data Analytics
51,19,10,Data Science,Data Analytics
56,20,4,Statistics,Data Analytics
61,21,6,Data Science,Data Analytics
62,22,2,Data Science,science and numerics
64,23,10,Machine Learning,Data Analytics
67,24,7,DBMS,Data Analytics
68,25,9,Executive,Data Analytics
69,26,6,Statistics,Artificial Intelligence
75,27,5,Data Science,Data Analytics
77,28,4,Data Science,Artificial Intelligence
80,29,10,Cloud computing,Infrastructure
81,30,4,Data engineer,Data Analytics
83,31,5,PowerBI,Data Analytics
87,32,1,Data Science,Data Analytics
90,33,7,DBMS,Infrastructure
92,34,0,Research,Data Science
97,35,5,Data Science,Data Analytics
100,36,0,Statistics,Artificial Intelligence
103,37,1,Machine Learning,Data Analytics
104,38,10,Executive,Hadoop-Apache
106,39,2,Machine Learning,Data Analytics
108,40,7,Executive,management
109,41,2,Computer Vision,Data Analytics
110,42,7,Data Science,Data Analytics
113,43,8,Data Science,Data Analytics
114,44,7,Machine Learning,Data Analytics
115,45,2,Data Science,Data Analytics
116,46,2,Data Science,Data Analytics
117,47,7,Engineer,Data Science
124,48,10,Computer Vision,Data Analytics
125,49,3,Data engineer,Data Analytics
128,50,8,Data Science,Data Analytics
130,51,9,Research,Data Analytics
132,52,0,Data Science,Management
133,53,3,Data Science,Data Analytics
135,54,9,Data Science,Data Analytics
137,55,9,Data Science,Data engineer
139,56,2,Machine Learning,Management
141,57,6,PowerBI,Artificial Intelligence
142,58,9,Data Science,Data Analytics
145,59,3,Artificial intelligence,Deep Learning
147,60,2,Executive,Data Analytics
149,61,5,Data Science,Data Analytics
151,62,10,Data Science,Management
152,63,2,Research,Data Analytics
154,64,0,Data Science,Data Analytics
159,65,10,Data Science,Data Analytics
162,66,2,Statistics,Management
164,67,4,Data Science,Data Analytics
172,68,7,Research,Data Science
175,69,10,Research,science and numerics
178,70,10,Data Science,Data Analytics
180,71,4,PowerBI,Data Analytics
182,72,4,Machine Learning,Data Analytics
184,73,4,Data Science,Data Analytics
186,74,7,Machine Learning,Data Analytics
187,75,8,Artificial intelligence,Management
189,76,0,Data Science,Data Analytics
197,77,10,Statistics,Data Analytics
199,78,5,Computer Vision,Data Analytics
201,79,5,Data engineer,Artificial Intelligence
203,80,9,Management,Data Analytics
204,81,5,Artificial intelligence,Data Analytics
212,82,10,Artificial intelligence,Machine Learning
213,83,3,Data Science,Data Analytics
215,84,2,Statistics,Data Analytics
216,85,5,Research,Data Analytics
217,86,7,Data Science,Data engineer
221,87,8,Data Science,Data Analytics
223,88,8,Statistics,Data Analytics
227,89,4,Executive,Artificial Intelligence
230,90,2,Statistics,Data Science
231,91,2,Management,Data Analytics
234,92,6,Statistics,science and numerics
239,93,7,Machine Learning,Data Analytics
244,94,4,Statistics,Data Analytics
245,95,10,DBMS,Data Analytics
246,96,2,Executive,Deep Learning
247,97,2,Computer Vision,Data Science
248,98,2,Data Science,Management
253,99,3,PowerBI,Artificial Intelligence
254,100,10,PowerBI,Management
255,101,8,Engineer,Management
257,102,8,PowerBI,Data Science
261,103,5,Data Science,Data Analytics
266,104,4,PowerBI,Data Analytics
267,105,5,Cloud computing,Data Analytics
271,106,6,Executive,Data Analytics
276,107,0,Data Science,Data Analytics
277,108,6,Statistics,Artificial Intelligence
282,109,1,Data Science,Data Analytics
283,110,10,Statistics,Hadoop-Apache
284,111,0,Machine Learning,Engineer
287,112,3,Data Science,Data Analytics
288,113,5,Data Science,Research
290,114,2,Machine Learning,Data Analytics
291,115,3,Cloud computing,Data Analytics
296,116,8,Data Science,Data Analytics
297,117,5,Data Science,Data Science
299,118,2,Data Science,Data Analytics
302,119,8,Data Science,Data Analytics
306,120,5,Data Science,Data Science
308,121,8,Executive,Data Analytics
312,122,5,Data Science,Data Analytics
313,123,3,Research,Data Analytics
316,124,8,Machine Learning,Data Analytics
318,125,10,Data engineer,Management
324,126,7,Statistics,Research
326,127,3,Data Science,Data Analytics
327,128,3,Data Science,science and numerics
328,129,5,Product Management,Data Analytics
332,130,2,Data Science,Data Analytics
335,131,6,Research,Hadoop-Apache
337,132,4,Machine Learning,Data Analytics
338,133,10,Management,Data Analytics
339,134,6,Statistics,Data Analytics
341,135,9,Statistics,Data Analytics
344,136,2,DBMS,Data Analytics
345,137,1,Data Science,Research
348,138,1,PowerBI,Data Analytics
352,139,4,Data Science,management
357,140,3,Data Science,Management
359,141,8,Computer Vision,science and numerics
367,142,2,Executive,Data Analytics
368,143,3,Data Science,Infrastructure
371,144,1,Data Science,Management
377,145,5,Data Science,Management
387,146,3,Machine Learning,Data Analytics
388,147,5,DBMS,science and numerics
389,148,3,Data Science,Hadoop-Apache
390,149,6,Data Science,Data Analytics
391,150,8,Data Science,Data Analytics
396,151,1,Machine Learning,Data Analytics
400,152,8,Data Science,Data Analytics
401,153,8,Statistics,Data Analytics
402,154,6,Statistics,Data Analytics
403,155,1,Data Science,Data Analytics
406,156,9,Management,Data Analytics
408,157,0,Data Science,Data Analytics
409,158,0,Management,Data Science
411,159,6,PowerBI,Data Analytics
414,160,1,Data Science,Management
419,161,8,DBMS,Data Analytics
429,162,2,Machine Learning,Data Analytics
435,163,5,Executive,Data Analytics
436,164,0,Data Science,Engineer
441,165,7,Data Science,Data Analytics
442,166,9,Statistics,Data Analytics
443,167,8,Data Science,Data Analytics
445,168,9,Executive,Data Analytics
447,169,8,Data engineer,Data Analytics
449,170,0,Machine Learning,Data Analytics
451,171,0,Statistics,Data Analytics
453,172,10,Statistics,science and numerics
461,173,10,Data Science,Data Analytics
474,174,3,Data Science,Data Analytics
476,175,6,Machine Learning,Data Analytics
478,176,6,Data Science,Management
481,177,7,Data Science,Data Analytics
483,178,4,Statistics,Artificial Intelligence
485,179,1,Data Science,Data Analytics
490,180,4,Data Science,Management
491,181,4,Engineer,Data Analytics
494,182,6,Research,Data Analytics
496,183,5,Data Science,Data Science
498,184,10,Machine Learning,Data Analytics
505,185,0,Data Science,Data Analytics
506,186,3,Machine Learning,Data Analytics
507,187,8,Data Science,Data Analytics
508,188,5,Data Science,Data Analytics
509,189,7,Management,Engineer
515,190,0,Research,Data Analytics
517,191,10,Applied Science,Data Analytics
519,192,6,DBMS,Data Analytics
521,193,7,Research,Data Analytics
525,194,10,Data Science,Data Analytics
529,195,8,Engineer,science and numerics
533,196,2,Data Science,Data Analytics
534,197,4,Data Science,Data Analytics
535,198,9,Machine Learning,Research
538,199,1,PowerBI,Management
539,200,0,Executive,Data Analytics
543,201,0,PowerBI,Data Analytics
544,202,10,Data Science,Data Analytics
545,203,2,Data Science,Management
546,204,9,Executive,Data Analytics
552,205,1,Executive,Data Analytics
559,206,10,Data Science,Data Analytics
560,207,6,Data Science,science and numerics
561,208,10,Data Science,Data Analytics
562,209,3,Data Science,Data Analytics
564,210,10,Data Science,Data Analytics
565,211,7,Statistics,Hadoop-Apache
567,212,10,Data Science,Data Analytics
568,213,5,DBMS,Data Analytics
571,214,10,Machine Learning,Data Analytics
573,215,2,Computer Vision,Data Analytics
578,216,6,Executive,science and numerics
582,217,5,Data Science,Artificial Intelligence
583,218,3,Data Science,Data Analytics
585,219,3,Research,Data Analytics
587,220,3,Data Science,Data Analytics
596,221,4,Research,Data Analytics
597,222,6,Data Science,Data Analytics
598,223,1,Data Science,Data Analytics
599,224,8,Data Science,Data Analytics
604,225,9,Data Science,Data Analytics
606,226,10,Data Science,Data Analytics
608,227,1,Data Science,Data Analytics
609,228,10,DBMS,Data Analytics
610,229,3,Data Science,Data Analytics
612,230,5,Data Science,Data Analytics
613,231,5,Statistics,Data Analytics
615,232,1,Statistics,Hadoop-Apache
617,233,3,Data Science,Data Analytics
619,234,9,Data Science,Data Science
620,235,2,Machine Learning,Data Analytics
621,236,1,Computer Vision,Data Analytics
623,237,1,Data Science,management
625,238,3,Data Science,Data Analytics
626,239,2,Data Science,Data Analytics
629,240,5,Data Science,Data Analytics
632,241,3,Machine Learning,Data Analytics
635,242,4,Data Science,Deep Learning
637,243,8,Executive,Data Analytics
638,244,2,Data Science,Data Analytics
639,245,5,Machine Learning,Data Analytics
640,246,0,Data Science,Data Analytics
641,247,6,Machine Learning,Management
643,248,5,Data Science,Management
646,249,5,Data Science,Data Analytics
649,250,1,Data Science,Data Analytics
650,251,4,Computer Vision,Engineer
651,252,7,Statistics,Data Analytics
654,253,6,Data Science,Data Analytics
655,254,2,Statistics,Data engineer
667,255,6,Executive,Data Analytics
669,256,10,Statistics,science and numerics
670,257,10,PowerBI,Management
673,258,3,Data Science,Software Development
674,259,10,Data Science,Data Analytics
675,260,2,Data Science,Management
679,261,9,Data Science,Data Analytics
680,262,8,Data Science,Engineer
681,263,6,Artificial intelligence,Data Analytics
686,264,10,Data Science,Infrastructure
688,265,6,Statistics,Hadoop-Apache
695,266,3,Data Science,Data Science
699,267,2,Data Science,Data Analytics
702,268,9,Data Science,Data Analytics
703,269,4,PowerBI,Data Analytics
704,270,8,Statistics,Data Science
706,271,5,Data Science,Data Analytics
707,272,9,Artificial intelligence,Data Science
710,273,8,Data Science,Data Analytics
714,274,2,Data Science,Data Analytics
721,275,10,Data Science,Data Analytics
723,276,4,Data Science,Data Analytics
724,277,1,Data Science,Artificial Intelligence
726,278,10,Statistics,Data Science
727,279,0,Data Science,Data Analytics
729,280,8,Machine Learning,Data Analytics
731,281,7,Data Science,Data Analytics
733,282,4,DBMS,Data Analytics
735,283,6,Machine Learning,Data Analytics
738,284,2,Data Science,Data engineer
739,285,2,Data Science,Data Analytics
744,286,4,Data Science,Artificial Intelligence
745,287,1,Data Science,Data Analytics
746,288,0,Machine Learning,Data Analytics
747,289,2,PowerBI,Data Analytics
748,290,1,Management,management
749,291,9,Cloud computing,Data Analytics
750,292,8,Data Science,Data Analytics
755,293,2,Data Science,Data Analytics
757,294,8,Machine Learning,Data Analytics
758,295,1,Research,science and numerics
